colname,durablename,static,pats,units_cd,mxinsts,nval_num,patvis_null,mxconmod,patvis,pats_null,colid,mod,ccd,name,cid,ddomain,mxfacts,valueflag_cd,tval_char,colcd,valtype_cd,c_info,c_icd9,c_icd10,c_icd9pcs,c_icd10pcs,c_cpt,c_loinc,standard_code,c_hospinfect,c_decubulcer,c_endometab,c_thromb,c_cardiac,c_respiratory,c_hemorrhage,c_drugadverse,c_fluidmgmt,c_mother,c_fetus,c_surgcomp,c_hosptrauma,c_anaesthesia,c_delirium,c_cns,c_gastro,c_severe,c_psi,dispname,comment_persistant,rename,c_patdata,c_vitals,c_visdata,c_death,c_respillness,c_falls,c_exposescreen,c_corona,c_vent,c_multicode,c_diabetes,c_override_keep,dispname_short,c_mainresponse,c_response,c_truefalse,c_predictor,c_integer,c_numeric,c_special,c_agingpaper,c_safetypaper,c_safetypapernew,c_fampractice,components
v003_Glbln_MCnc_Pt_Sr_Qn_Clcltd_mn,_Glbln_MCnc_Pt_Sr_Qn_Clcltd_mn,v003_Glbln_MCnc_Pt_Sr_Qn_Clcltd,859,4,3,1,309633,1,2712,13985,v003_Glbln_MCnc_Pt_Sr_Qn_Clcltd,,1,10834-0 - Globulin:MCnc:Pt:Ser:Qn:Calculated,3,LOINC,3,2,,v003,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:10834-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v003_Glbln_MCnc_Pt_Sr_Qn_Clcltd,_Glbln_MCnc_Pt_Sr_Qn_Clcltd,,859,4,3,1,309633,1,2712,13985,v003_Glbln_MCnc_Pt_Sr_Qn_Clcltd,,1,10834-0 - Globulin:MCnc:Pt:Ser:Qn:Calculated,3,LOINC,3,2,,v003,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:10834-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v004_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd_mn,_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd_mn,v004_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd,2648,3,3,1,303324,1,9021,12196,v004_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd,,1,13457-7 - Cholesterol.in LDL:MCnc:Pt:Ser/Plas:Qn:Calculated,4,LOINC,3,3,,v004,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:13457-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v004_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd,_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd,,2648,3,3,1,303324,1,9021,12196,v004_LDL_MCnc_Pt_Sr_Pls_Qn_Clcltd,,1,13457-7 - Cholesterol.in LDL:MCnc:Pt:Ser/Plas:Qn:Calculated,4,LOINC,3,3,,v004,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:13457-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v006_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn_mn,_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn_mn,v006_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn,5559,3,8,1,285200,1,27145,9285,v006_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn,,1,1742-6 - Alanine aminotransferase:CCnc:Pt:Ser/Plas:Qn,6,LOINC,8,3,,v006,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:1742-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v006_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn,_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn,,5559,3,8,1,285200,1,27145,9285,v006_amntrnsfrs_CCnc_Pt_Sr_Pls_Qn,,1,1742-6 - Alanine aminotransferase:CCnc:Pt:Ser/Plas:Qn,6,LOINC,8,3,,v006,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:1742-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v007_Albmn_MCnc_Pt_Sr_Pls_Qn_mn,_Albmn_MCnc_Pt_Sr_Pls_Qn_mn,v007_Albmn_MCnc_Pt_Sr_Pls_Qn,5270,4,8,1,284896,1,27449,9574,v007_Albmn_MCnc_Pt_Sr_Pls_Qn,,1,1751-7 - Albumin:MCnc:Pt:Ser/Plas:Qn,7,LOINC,8,2,,v007,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:1751-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v007_Albmn_MCnc_Pt_Sr_Pls_Qn,_Albmn_MCnc_Pt_Sr_Pls_Qn,,5270,4,8,1,284896,1,27449,9574,v007_Albmn_MCnc_Pt_Sr_Pls_Qn,,1,1751-7 - Albumin:MCnc:Pt:Ser/Plas:Qn,7,LOINC,8,2,,v007,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:1751-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v008_Sts__ptnts_cd,_Sts__ptnts_cd,v008_Sts__ptnts,261,1,1,,312082,1,263,14583,v008_Sts__ptnts,,2,1760 Vital Status,8,NAACCR,1,,,v008,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NAACCR:1760 Vital Status,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Vital status according to NAACCR, 0 = deceased, 1 = alive",v_vitalstatnaaccr,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,
v008_Sts__ptnts,_Sts__ptnts,,261,1,1,,312082,1,263,14583,v008_Sts__ptnts,,2,1760 Vital Status,8,NAACCR,1,,,v008,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NAACCR:1760 Vital Status,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v009_Clcm_MCnc_Pt_Sr_Pls_Qn_mn,_Clcm_MCnc_Pt_Sr_Pls_Qn_mn,v009_Clcm_MCnc_Pt_Sr_Pls_Qn,6204,1,34,1,268932,1,43413,8640,v009_Clcm_MCnc_Pt_Sr_Pls_Qn,,1,17861-6 - Calcium:MCnc:Pt:Ser/Plas:Qn,9,LOINC,34,3,,v009,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:17861-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v009_Clcm_MCnc_Pt_Sr_Pls_Qn,_Clcm_MCnc_Pt_Sr_Pls_Qn,,6204,1,34,1,268932,1,43413,8640,v009_Clcm_MCnc_Pt_Sr_Pls_Qn,,1,17861-6 - Calcium:MCnc:Pt:Ser/Plas:Qn,9,LOINC,34,3,,v009,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:17861-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v010_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn_mn,_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn_mn,v010_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn,3,2,1,1,312342,1,3,14841,v010_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn,,1,17863-2 - Calcium.ionized:MCnc:Pt:Ser/Plas:Qn,10,LOINC,1,,,v010,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:17863-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v010_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn,_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn,,3,2,1,1,312342,1,3,14841,v010_Clcm_inzd_MCnc_Pt_Sr_Pls_Qn,,1,17863-2 - Calcium.ionized:MCnc:Pt:Ser/Plas:Qn,10,LOINC,1,,,v010,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:17863-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v011_LDL_MCnc_Pt_Sr_Pls_Qn_Drct_mn,_LDL_MCnc_Pt_Sr_Pls_Qn_Drct_mn,v011_LDL_MCnc_Pt_Sr_Pls_Qn_Drct,6,1,1,1,312338,1,7,14838,v011_LDL_MCnc_Pt_Sr_Pls_Qn_Drct,,1,18262-6 - Cholesterol.in LDL:MCnc:Pt:Ser/Plas:Qn:Direct assay,11,LOINC,1,1,,v011,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:18262-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v011_LDL_MCnc_Pt_Sr_Pls_Qn_Drct,_LDL_MCnc_Pt_Sr_Pls_Qn_Drct,,6,1,1,1,312338,1,7,14838,v011_LDL_MCnc_Pt_Sr_Pls_Qn_Drct,,1,18262-6 - Cholesterol.in LDL:MCnc:Pt:Ser/Plas:Qn:Direct assay,11,LOINC,1,1,,v011,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:18262-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v012_Blrbn_glcrndtd_Blrbn_albmn_mn,_Blrbn_glcrndtd_Blrbn_albmn_mn,v012_Blrbn_glcrndtd_Blrbn_albmn,1617,1,4,1,307119,1,5226,13227,v012_Blrbn_glcrndtd_Blrbn_albmn,,1,1968-7 - Bilirubin.glucuronidated+Bilirubin.albumin bound:MCnc:Pt:Ser/Plas:Qn,12,LOINC,4,2,,v012,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:1968-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v012_Blrbn_glcrndtd_Blrbn_albmn,_Blrbn_glcrndtd_Blrbn_albmn,,1617,1,4,1,307119,1,5226,13227,v012_Blrbn_glcrndtd_Blrbn_albmn,,1,1968-7 - Bilirubin.glucuronidated+Bilirubin.albumin bound:MCnc:Pt:Ser/Plas:Qn,12,LOINC,4,2,,v012,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:1968-7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v013_Blrbn_MCnc_Pt_Sr_Pls_Qn_mn,_Blrbn_MCnc_Pt_Sr_Pls_Qn_mn,v013_Blrbn_MCnc_Pt_Sr_Pls_Qn,5843,1,8,1,283581,1,28764,9001,v013_Blrbn_MCnc_Pt_Sr_Pls_Qn,,1,1975-2 - Bilirubin:MCnc:Pt:Ser/Plas:Qn,13,LOINC,8,3,,v013,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:1975-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v013_Blrbn_MCnc_Pt_Sr_Pls_Qn,_Blrbn_MCnc_Pt_Sr_Pls_Qn,,5843,1,8,1,283581,1,28764,9001,v013_Blrbn_MCnc_Pt_Sr_Pls_Qn,,1,1975-2 - Bilirubin:MCnc:Pt:Ser/Plas:Qn,13,LOINC,8,3,,v013,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:1975-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v014_dxd_SCnc_Pt_Sr_Pls_Qn_mn,_dxd_SCnc_Pt_Sr_Pls_Qn_mn,v014_dxd_SCnc_Pt_Sr_Pls_Qn,6202,1,34,1,269023,1,43322,8642,v014_dxd_SCnc_Pt_Sr_Pls_Qn,,1,2028-9 - Carbon dioxide:SCnc:Pt:Ser/Plas:Qn,14,LOINC,34,3,,v014,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:2028-9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v014_dxd_SCnc_Pt_Sr_Pls_Qn,_dxd_SCnc_Pt_Sr_Pls_Qn,,6202,1,34,1,269023,1,43322,8642,v014_dxd_SCnc_Pt_Sr_Pls_Qn,,1,2028-9 - Carbon dioxide:SCnc:Pt:Ser/Plas:Qn,14,LOINC,34,3,,v014,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:2028-9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v015_Chlrd_SCnc_Pt_Bld_Qn_mn,_Chlrd_SCnc_Pt_Bld_Qn_mn,v015_Chlrd_SCnc_Pt_Bld_Qn,3,1,1,1,312342,1,3,14841,v015_Chlrd_SCnc_Pt_Bld_Qn,,1,2069-3 - Chloride:SCnc:Pt:Bld:Qn,15,LOINC,1,,,v015,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:2069-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v015_Chlrd_SCnc_Pt_Bld_Qn,_Chlrd_SCnc_Pt_Bld_Qn,,3,1,1,1,312342,1,3,14841,v015_Chlrd_SCnc_Pt_Bld_Qn,,1,2069-3 - Chloride:SCnc:Pt:Bld:Qn,15,LOINC,1,,,v015,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:2069-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v016_HDL_MCnc_Pt_Sr_Pls_Qn_mn,_HDL_MCnc_Pt_Sr_Pls_Qn_mn,v016_HDL_MCnc_Pt_Sr_Pls_Qn,2685,1,3,1,302979,1,9366,12159,v016_HDL_MCnc_Pt_Sr_Pls_Qn,,1,2085-9 - Cholesterol.in HDL:MCnc:Pt:Ser/Plas:Qn,16,LOINC,3,2,,v016,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:2085-9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v016_HDL_MCnc_Pt_Sr_Pls_Qn,_HDL_MCnc_Pt_Sr_Pls_Qn,,2685,1,3,1,302979,1,9366,12159,v016_HDL_MCnc_Pt_Sr_Pls_Qn,,1,2085-9 - Cholesterol.in HDL:MCnc:Pt:Ser/Plas:Qn,16,LOINC,3,2,,v016,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:2085-9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v017_Chlstrl_MCnc_Pt_Sr_Pls_Qn_mn,_Chlstrl_MCnc_Pt_Sr_Pls_Qn_mn,v017_Chlstrl_MCnc_Pt_Sr_Pls_Qn,2721,1,3,1,302795,1,9550,12123,v017_Chlstrl_MCnc_Pt_Sr_Pls_Qn,,1,2093-3 - Cholesterol:MCnc:Pt:Ser/Plas:Qn,17,LOINC,3,3,,v017,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:2093-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v017_Chlstrl_MCnc_Pt_Sr_Pls_Qn,_Chlstrl_MCnc_Pt_Sr_Pls_Qn,,2721,1,3,1,302795,1,9550,12123,v017_Chlstrl_MCnc_Pt_Sr_Pls_Qn,,1,2093-3 - Cholesterol:MCnc:Pt:Ser/Plas:Qn,17,LOINC,3,3,,v017,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:2093-3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v019_Crtn_MCnc_Pt_Sr_Pls_Qn_mn,_Crtn_MCnc_Pt_Sr_Pls_Qn_mn,v019_Crtn_MCnc_Pt_Sr_Pls_Qn,6224,1,34,1,268237,1,44108,8620,v019_Crtn_MCnc_Pt_Sr_Pls_Qn,,1,2160-0 - Creatinine:MCnc:Pt:Ser/Plas:Qn,19,LOINC,34,3,,v019,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:2160-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v019_Crtn_MCnc_Pt_Sr_Pls_Qn,_Crtn_MCnc_Pt_Sr_Pls_Qn,,6224,1,34,1,268237,1,44108,8620,v019_Crtn_MCnc_Pt_Sr_Pls_Qn,,1,2160-0 - Creatinine:MCnc:Pt:Ser/Plas:Qn,19,LOINC,34,3,,v019,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LOINC:2160-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v020_Glcs_MCnc_Pt_Bld_Qn_mn,_Glcs_MCnc_Pt_Bld_Qn_mn,v020_Glcs_MCnc_Pt_Bld_Qn,673,1,9,1,311536,1,809,14171,v020_Glcs_MCnc_Pt_Bld_Qn,,1,2339-0 - Glucose:MCnc:Pt:Bld:Qn,20,LOINC,9,3,,v020,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LOINC:2339-0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
