colname,durablename,static,pats,units_cd,mxinsts,nval_num,patvis_null,mxconmod,patvis,pats_null,colid,mod,ccd,name,cid,ddomain,mxfacts,valueflag_cd,tval_char,colcd,valtype_cd,c_info
v030_Glcs_MCnc_Pt_BldC_Qn_Glcmtr,_Glcs_MCnc_Pt_BldC_Qn_Glcmtr,,1795,1,127,1,297112,1,15233,13049,v030_Glcs_MCnc_Pt_BldC_Qn_Glcmtr,,1,41653-7 - Glucose:MCnc:Pt:BldC:Qn:Glucometer,30,LOINC,127,3,,v030,,TRUE
v031_Hmtcrt_VFr_Pt_Bld_Qn_Atmtd_mn,_Hmtcrt_VFr_Pt_Bld_Qn_Atmtd_mn,v031_Hmtcrt_VFr_Pt_Bld_Qn_Atmtd,6445,1,48,1,271136,1,41209,8399,v031_Hmtcrt_VFr_Pt_Bld_Qn_Atmtd,,1,4544-3 - Hematocrit:VFr:Pt:Bld:Qn:Automated count,31,LOINC,48,3,,v031,,
v031_Hmtcrt_VFr_Pt_Bld_Qn_Atmtd,_Hmtcrt_VFr_Pt_Bld_Qn_Atmtd,,6445,1,48,1,271136,1,41209,8399,v031_Hmtcrt_VFr_Pt_Bld_Qn_Atmtd,,1,4544-3 - Hematocrit:VFr:Pt:Bld:Qn:Automated count,31,LOINC,48,3,,v031,,TRUE
v032_Ac_Hmglbn_tl_MFr_Pt_Bld_Qn_Elctrphrs_mn,_Ac_Hmglbn_tl_MFr_Pt_Bld_Qn_Elctrphrs_mn,v032_Ac_Hmglbn_tl_MFr_Pt_Bld_Qn_Elctrphrs,34,1,1,1,312303,1,42,14810,v032_Ac_Hmglbn_tl_MFr_Pt_Bld_Qn_Elctrphrs,,1,4549-2 - Hemoglobin A1c/Hemoglobin.total:MFr:Pt:Bld:Qn:Electrophoresis,32,LOINC,1,1,,v032,,
v032_Ac_Hmglbn_tl_MFr_Pt_Bld_Qn_Elctrphrs,_Ac_Hmglbn_tl_MFr_Pt_Bld_Qn_Elctrphrs,,34,1,1,1,312303,1,42,14810,v032_Ac_Hmglbn_tl_MFr_Pt_Bld_Qn_Elctrphrs,,1,4549-2 - Hemoglobin A1c/Hemoglobin.total:MFr:Pt:Bld:Qn:Electrophoresis,32,LOINC,1,1,,v032,,TRUE
v035_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd_mn,_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd_mn,v035_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd,972,3,2,1,309507,1,2838,13872,v035_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd,,1,48642-3 - Glomerular filtration rate/1.73 sq M.predicted.non black:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (MDRD),35,LOINC,2,1,,v035,,
v035_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd,_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd,,972,3,2,1,309507,1,2838,13872,v035_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd,,1,48642-3 - Glomerular filtration rate/1.73 sq M.predicted.non black:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (MDRD),35,LOINC,2,1,,v035,,TRUE
v036_M_prdctd_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd_mn,_M_prdctd_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd_mn,v036_M_prdctd_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd,150,2,1,1,312066,1,279,14694,v036_M_prdctd_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd,,1,48643-1 - Glomerular filtration rate/1.73 sq M.predicted.black:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (MDRD),36,LOINC,1,1,,v036,,
v036_M_prdctd_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd,_M_prdctd_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd,,150,2,1,1,312066,1,279,14694,v036_M_prdctd_blck_ArVRt_Pt_Sr_Pls_Bld_Qn_Crtn_bsd,,1,48643-1 - Glomerular filtration rate/1.73 sq M.predicted.black:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (MDRD),36,LOINC,1,1,,v036,,TRUE
v037_lkcts_NFr_Pt_Bld_Qn_Atmtd_mn,_lkcts_NFr_Pt_Bld_Qn_Atmtd_mn,v037_lkcts_NFr_Pt_Bld_Qn_Atmtd,3674,1,4,1,298859,1,13486,11170,v037_lkcts_NFr_Pt_Bld_Qn_Atmtd,,1,5905-5 - Monocytes/100 leukocytes:NFr:Pt:Bld:Qn:Automated count,37,LOINC,4,2,,v037,,
v037_lkcts_NFr_Pt_Bld_Qn_Atmtd,_lkcts_NFr_Pt_Bld_Qn_Atmtd,,3674,1,4,1,298859,1,13486,11170,v037_lkcts_NFr_Pt_Bld_Qn_Atmtd,,1,5905-5 - Monocytes/100 leukocytes:NFr:Pt:Bld:Qn:Automated count,37,LOINC,4,2,,v037,,TRUE
v038_Extrcrprl_Prcdr_tf,_Extrcrprl_Prcdr_tf,v038_Extrcrprl_Prcdr,95,1,1,,312245,4,100,14749,v038_Extrcrprl_Prcdr,,12,5A - Extracorporeal or Systemic Assistance and Performance @ Physiological Systems (Procedure),38,ICD10PCS,4,,,v038,,
v038_Extrcrprl_Prcdr,_Extrcrprl_Prcdr,,95,1,1,,312245,4,100,14749,v038_Extrcrprl_Prcdr,,12,5A - Extracorporeal or Systemic Assistance and Performance @ Physiological Systems (Procedure),38,ICD10PCS,4,,,v038,,TRUE
v039_Ptsm_SCnc_Pt_Bld_Qn_mn,_Ptsm_SCnc_Pt_Bld_Qn_mn,v039_Ptsm_SCnc_Pt_Bld_Qn,12,1,2,1,312331,1,14,14832,v039_Ptsm_SCnc_Pt_Bld_Qn,,1,6298-4 - Potassium:SCnc:Pt:Bld:Qn,39,LOINC,2,1,,v039,,
v039_Ptsm_SCnc_Pt_Bld_Qn,_Ptsm_SCnc_Pt_Bld_Qn,,12,1,2,1,312331,1,14,14832,v039_Ptsm_SCnc_Pt_Bld_Qn,,1,6298-4 - Potassium:SCnc:Pt:Bld:Qn,39,LOINC,2,1,,v039,,TRUE
v040_Lkcts_NCnc_Pt_Bld_Qn_Atmtd_mn,_Lkcts_NCnc_Pt_Bld_Qn_Atmtd_mn,v040_Lkcts_NCnc_Pt_Bld_Qn_Atmtd,6392,7,14,1,271803,1,40542,8452,v040_Lkcts_NCnc_Pt_Bld_Qn_Atmtd,,1,6690-2 - Leukocytes:NCnc:Pt:Bld:Qn:Automated count,40,LOINC,14,3,,v040,,
v040_Lkcts_NCnc_Pt_Bld_Qn_Atmtd,_Lkcts_NCnc_Pt_Bld_Qn_Atmtd,,6392,7,14,1,271803,1,40542,8452,v040_Lkcts_NCnc_Pt_Bld_Qn_Atmtd,,1,6690-2 - Leukocytes:NCnc:Pt:Bld:Qn:Automated count,40,LOINC,14,3,,v040,,TRUE
v041_phsphts_CCnc_Pt_Sr_Pls_Qn_mn,_phsphts_CCnc_Pt_Sr_Pls_Qn_mn,v041_phsphts_CCnc_Pt_Sr_Pls_Qn,5505,3,8,1,285623,1,26722,9339,v041_phsphts_CCnc_Pt_Sr_Pls_Qn,,1,6768-6 - Alkaline phosphatase:CCnc:Pt:Ser/Plas:Qn,41,LOINC,8,2,,v041,,
v041_phsphts_CCnc_Pt_Sr_Pls_Qn,_phsphts_CCnc_Pt_Sr_Pls_Qn,,5505,3,8,1,285623,1,26722,9339,v041_phsphts_CCnc_Pt_Sr_Pls_Qn,,1,6768-6 - Alkaline phosphatase:CCnc:Pt:Ser/Plas:Qn,41,LOINC,8,2,,v041,,TRUE
v042_Bsphls_NCnc_Pt_Bld_Qn_Atmtd_mn,_Bsphls_NCnc_Pt_Bld_Qn_Atmtd_mn,v042_Bsphls_NCnc_Pt_Bld_Qn_Atmtd,3820,7,4,1,297967,1,14378,11024,v042_Bsphls_NCnc_Pt_Bld_Qn_Atmtd,,1,704-7 - Basophils:NCnc:Pt:Bld:Qn:Automated count,42,LOINC,4,1,,v042,,
